index,page_title,campus,block_release_duration,distance_learning_duration,full_time_duration,part_time_duration,block_release_international_fees,distance_learning_international_fees,full_time_international_fees,part_time_international_fees,block_release_uk_fees,distance_learning_uk_fees,full_time_uk_fees,part_time_uk_fees,block_release_url,distance_learning_url,full_time_url,part_time_url,desc_len,description,ai_description,desc_ai_len
10,Arabic and International Communication BA Honours,"Regent, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-international-communication-ba-honours,,185,"Our Arabic and International Communication BA develops your knowledge of the Arabic language and culture, and develops your communication skills for the professional global environment."," The ""Arabic and International Communication"" BA program provides a comprehensive education, combining linguistic proficiency in Arabic with expertise in cross-cultural communication. This course equips students with in-depth knowledge of the rich Arabic language and its intricate cultural nuances, while simultaneously honing their skills to navigate the global professional landscape. The program's unique blend of these two critical areas prepares learners to effectively communicate across international boundaries, making them valuable assets for today's interconnected world.",275
11,Arabic and International Communication with Foundation BA Honours,"Regent, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-international-communication-with-foundation-ba-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," The University of Westminster's degree courses equipped with a Foundation year serve as a preparatory step towards advanced studies, ensuring seamless transition into a full honours degree. This unique setup is tailored to support students who may require additional academic preparation before diving headfirst into their chosen field of study. By offering comprehensive educational groundwork within this Foundation year, the university empowers students with the necessary skills and knowledge to excel in their future studies. This innovative approach fosters a strong foundation for students' academic journey at the University of Westminster.",275
12,Arabic and International Relations BA Honours,"Regent, Central London",,,3 or 4 years,5 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/full-time/arabic-and-international-relations-ba-honours,https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/part-time-day/arabic-and-international-relations-ba-honours,187,"Our Arabic and International Relations course focuses on questions of governance, democracy and human rights, while training competent Arabic linguists ready to enter graduate employment."," This Arabic and International Relations course delves into pivotal topics such as governance, democracy, and human rights, within the context of the Arab world. By combining linguistic proficiency with global politics insights, this program prepares students for competitive graduate positions. The curriculum equips learners with both a strong command of the Arabic language and an understanding of complex regional issues, making them uniquely positioned to engage in diplomacy or analysis related to the Middle East. This course not only fosters linguistic excellence but also nurtures well-rounded professionals poised to contribute to a globalized world where Arabic fluency and international relations expertise are highly sought after.",275
13,Arabic and Linguistics BA Honours,"Regent, Central London",,,3 or 4 years,5 years,,,"£17,000","£2,830",,,"£9,250","£1,540",,,https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-linguistics-ba-honours,https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/arabic-and-linguistics-ba-honours,103,Our Arabic and Linguistics BA trains you to be a competent linguist ready to enter graduate employment.," This Arabic and Linguistics Bachelor's Degree program equips students with the essential skills to become proficient linguists, priming them for successful careers in graduate employment. Through comprehensive coursework, students delve into Arabic language mastery, while simultaneously exploring linguistic theories and methodologies. The curriculum emphasizes practical application, fostering a deep understanding of both spoken and written Arabic dialects. Moreover, the program equips students with critical thinking skills, enabling them to analyze complex linguistic issues effectively. Students also gain valuable cultural insights through the study of Arabic literature and history, providing a holistic education in Arabic language and linguistics. By graduation, students are well-prepared to tackle diverse challenges in the linguistics field, making them highly sought after by graduate employers.",275
14,Architectural Technology BSc Honours,"Marylebone, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architectural-technology-bsc-honours,,126,Our design-led Architectural Technology BSc will give you the skills you need to launch your career in design and development.," In this Design-Led Architectural Technology BSc program, students acquire essential skills to embark on a successful career in design and construction. This comprehensive course focuses on blending artistic creativity with technological proficiency, equipping learners with both design-led principles and architectural technology knowledge. The curriculum includes subjects such as building design, materials science, environmental impact analysis, and digital modeling. Graduates will be well-equipped to tackle complex design projects while considering sustainability and accessibility aspects. By the end of this program, students will have a strong foundation in architectural technology, enabling them to contribute significantly to the dynamic field of design and development.",275
15,Architectural Technology with Foundation BSc Honours,"Marylebone, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architectural-technology-with-foundation-bsc-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," The University of Westminster's degree courses with a Foundation year provide an exceptional pathway for students seeking a solid foundation for advanced studies. This innovative program prepares learners for full honours degrees, offering a seamless transition into undergraduate study. By bridging academic and cultural gaps, this program ensures students are well-prepared to succeed in their future academic endeavors. The Foundation year focuses on developing essential skills, building confidence, and fostering an inclusive environment that encourages success. This unique opportunity combines a strong foundation with the prestige of a University of Westminster education, making it an ideal choice for students seeking a comprehensive university experience.",275
16,Architecture & Sustainable Heritage MA,"Marylebone, Central London",,,1 year,2 years,,,"£15,500","£1,785",,,"£9,700","£1,125",,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-sustainable-heritage-ma,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-sustainable-heritage-ma,266,The Architecture and Sustainable Heritage MA offers a distinctive programme for those interested in studying the historic built environment. The course provides a unique platform for students to advance careers in heritage practice or engage in specialised research.," This Architecture and Sustainable Heritage MA program is tailored for individuals passionate about preserving historical architectural wonders. It offers a rare opportunity for career advancement within heritage practice, or for those seeking to delve deeper into specialized research. The course uniquely blends the study of historic built environments with sustainable practices, creating a dynamic platform that equips students with essential skills for navigating the intricate world of architectural conservation and innovation. By enrolling in this program, students will not only gain practical knowledge but also contribute to the preservation and enhancement of our cultural heritage, ensuring its continuity for future generations.",275
17,Architecture BA Honours,"Marylebone, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-ba-honours,,225,"Architecture is a fascinating subject involving wide-ranging academic, practical and vocational activities. It requires creativity and imagination, as well as the inventive employment of environmental and technical knowledge."," In this engaging exploration of architecture, students delve into a captivating blend of theoretical and hands-on experiences. The course emphasizes the importance of creativity and imaginative thinking in architectural design, while concurrently instilling a deep understanding of environmental and technical knowledge. From drafting blueprints to constructing models, this comprehensive program encourages learners to apply their innovative ideas in practical settings. By combining academic rigor with vocational skills, this course offers a well-rounded, immersive journey into the dynamic world of architecture.",275
18,Architecture MA,"Marylebone, Central London",,,1 year,2 years,,,"£15,500","£1,785",,,"£9,700","£1,125",,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-ma,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-ma,998,"The Architecture MA offers a unique opportunity for graduates interested in the intersection of architectural design, theory and research, encouraging students to develop their own positions and identities as creative practitioners and thinkers. A range of thematic and contextual concerns are offered and explored through the course using unconventional and imaginative methods of design, research and representation. These include cultural identity, architecture and society, political architecture, contested landscapes and digital design. These diverse fields of inquiry and their impact on our cities are underpinned by integrating ‘other’ voices such as post-colonialism, critical theory, feminist theory and race studies. The course promotes methodological and representational innovation, with participants using techniques such as social mapping, interactive installations, film and conceptual modelling to stimulate projects towards high-levels of spatial, material and formal resolution."," The Architecture MA program is a captivating platform for architecture graduates, fostering the development of distinctive design, theory, and research perspectives among creative practitioners. With a blend of thematic and contextual foci, students explore diverse topics like cultural identity, society, politics, contested landscapes, and digital design, using innovative methods such as social mapping, film, and conceptual modeling for design, research, and representation. The program delves into the intersection of these fields and their influence on urban landscapes, incorporating alternative voices from post-colonialism, critical theory, feminist theory, and race studies to promote a holistic understanding. The curriculum champions methodological and representational ingenuity, encouraging participants to reach exceptional levels of spatial, material, and formal resolution in their projects.",275
19,Architecture Postgraduate Diploma Professional Practice (RIBA Part III),"Marylebone, Central London",,,,1 year,,,,£600,,,,£600,,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-evening-only/architecture-postgraduate-diploma-professional-practice-riba-part-iii,181,This third and final adjunct of architectural education is designed to take place during the second period of mandatory practical training after the completion of the Part 2 course.," The concluding segment of this architectural education journey unfolds during the practical training's second phase, following successful completion of the Part 2 course. This third adjunct, a pivotal component, is meticulously crafted to equip emerging architects with advanced skills and expertise. The focus lies on integrating theoretical knowledge with real-world practice, ensuring a seamless transition from academia to professional life. This phase emphasizes complex design projects, project management, and client relations, all integral aspects of the architectural profession. Furthermore, it encourages critical thinking, problem-solving abilities, and fosters an appreciation for sustainability and innovative design solutions. This final stage serves as a transformative experience, empowering budding architects to embark on their careers with confidence, prepared to make indelible marks in the world of architecture.",275
20,Architecture and Environmental Design BSc Honours,"Marylebone, Central London",,,3 or 4 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-bsc-honours,,416,"Our Architecture and Environmental Design BSc encompasses the ‘artistic’ and the ‘scientific’ to create a new generation of architects who are not only architecturally competent and environmentally aware, but also able to explore the spatial poetics with an evidence-informed approach, selectively evaluate design options, and quantify the building performance and environmental benefits and impact of their designs."," This Architecture and Environmental Design BSc program uniquely blends artistic and scientific disciplines, nurturing a new generation of architects who are both architecturally proficient and environmentally conscious. Students will be equipped with the skills to explore spatial aesthetics through an evidence-based approach, critically evaluate design options, and quantify the environmental performance and impact of their creations. By graduation, they will have acquired a comprehensive understanding of building practices, sustainability principles, and the profound influence architecture has on our environment. This dynamic course aims to produce architects who can seamlessly merge artistry with science for a greener, more sustainable future.",275
21,Architecture and Environmental Design MSc,"Marylebone, Central London",,,1 year,2 years,,,"£15,500","£1,785",,,"£11,700","£1,325",,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-msc,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-and-environmental-design-msc,571,"The global environmental and energy challenge facing current and future generations of architects and building professionals calls for a deeper understanding of the principles of environmental design, and their effective application into architectural practice worldwide. Over the last decades environmental design as a subject area has developed, responding to new research and experimentation, both in academia and in practice. However, buildings claiming to be environmentally conscious do not perform to the expected standards, still heavily contributing to global CO"," This educational course addresses the pressing need for architects and building professionals to master environmental design principles, essential in mitigating the global environmental and energy challenges we face today. Over time, environmental design has evolved, integrating advancements from both academic research and practical applications. Despite buildings being marketed as eco-friendly, their performance often falls short of expectations, contributing significantly to global CO2 emissions. This course aims to bridge this gap by providing a comprehensive understanding of effective environmental design principles and equipping professionals with the skills necessary to implement these practices responsibly in their architectural endeavors on a global scale.",275
22,Architecture and Environmental Design Postgraduate Certificate,"Marylebone, Central London",,,,1 year,,,,"£5,355",,,,"£3,975",,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-and-environmental-design-postgraduate-certificate,271,"The global environmental and energy challenge facing current and future generations of architects and building professionals calls for a deeper understanding of the principles of environmental design, and their effective application into architectural practice worldwide."," An innovative educational course focuses on equipping architects and building professionals globally with the essential knowledge needed to tackle the pressing environmental and energy challenges of today and tomorrow. This comprehensive program delves deep into the principles of environmental design, empowering practitioners to seamlessly integrate these concepts into their work. The goal is to foster a sustainable built environment that addresses the needs of future generations while minimizing negative impacts on our planet. By mastering this course, architects will be better prepared to meet global demands, driving positive change in the architecture and building industry as a whole.",275
23,Architecture and Environmental Design with Foundation BSc Honours,"Marylebone, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-with-foundation-bsc-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," The University of Westminster's degree courses featuring a Foundation year provide a unique opportunity for students to acclimate to higher education. This preparatory year, designed for those needing additional support, smooths the transition into a full honours degree program. These courses are perfect for students eager to embark on advanced studies without meeting the initial entry requirements. By combining foundational knowledge and skills with the main degree curriculum, these programs offer a comprehensive learning experience, ensuring students are well-equipped to succeed in their academic journey at the University of Westminster.",275
24,Architecture with Foundation BA Honours,"Marylebone, Central London",,,4 or 5 years,,,,"£17,000",,,,"£9,250",,,,https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-with-foundation-ba-honours,,176,Our degree courses with Foundation year offer the opportunity to prepare you for advanced study before you progress onto a full honours degree at the University of Westminster.," At the University of Westminster, our bespoke Foundation year degree courses provide a stepping stone towards an advanced, full honours degree. These courses are meticulously designed to ready you for rigorous academic pursuits. By nurturing your potential and bolstering your skills, they seamlessly transition you into a comprehensive undergraduate program. This unique educational pathway is tailored to ensure your readiness to thrive in the challenging environment of a full honours degree. Whether your background is diverse or lacking in specific requirements for direct entry, our courses cater to all, fostering academic growth and personal development. Embark on this transformative journey at the University of Westminster and unlock your potential, paving the way for a successful future.",275
25,Art and Emerging Technologies MA,"Harrow, North-West London",,,1 year,2 years,,,"£15,500","£1,785",,,"£11,700","£1,325",,,https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/art-and-emerging-technologies-ma,https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/art-and-emerging-technologies-ma,216,"The Art and Emerging Technologies MA explores experimental applications of creative technologies in art practice, the development of advanced digital skills, and their impact on society, culture, and the environment."," Delve into the dynamic world of art and technology with the Art and Emerging Technologies MA program! This innovative course focuses on pushing artistic boundaries through the experimental application of cutting-edge technologies, enriching your artistic practice. As you progress, hone advanced digital skills essential for navigating the ever-evolving creative landscape. Furthermore, delve into the societal, cultural, and environmental implications of these technologies, fostering a comprehensive understanding of their impact. This program offers an immersive exploration that bridges the gap between artistic creativity and technological innovation, ensuring you graduate as a forward-thinking artist with a global perspective.",275
26,Art and Visual Culture MA,"Regent, Central London",,,1 year,2 years,,,"£17,500","£8,750",,,"£9,700","£4,850",,,https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/art-and-visual-culture-ma,https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/art-and-visual-culture-ma,853,"The Art and Visual Culture MA is part of the Cultural and Literary Studies Suite, a cluster of four MAs that bring together academics, curators and practitioners who share a commitment to investigating modern and contemporary culture from aesthetic, critical, literary, and experiential perspectives. You'll share classes with students from the Cultural and Critical Studies MA, the English Literature: Modern and Contemporary Fictions MA, and the Museum, Galleries and Contemporary Culture MA, joining a fruitful and intellectually-rigorous environment designed to facilitate the sprouting of interdisciplinary thinking. As part of our Suite, you may also choose an option module from the other three MA programmes (what is referred to as an ‘elective’ module), a fantastic opportunity to explore a facet of culture outside of your chosen MA programme."," The Art and Visual Culture MA, within the Cultural and Literary Studies Suite, offers a vibrant interdisciplinary environment for students interested in modern and contemporary art and culture. By sharing classes with peers from related MAs such as Cultural and Critical Studies, English Literature: Modern and Contemporary Fictions, and Museum, Galleries, and Contemporary Culture, you'll engage in intellectually stimulating discussions on aesthetics, critical analysis, literature, and experiential perspectives. The suite encourages interdisciplinary thinking, with students having the option to choose an elective module from any of the three other MA programs, allowing for a diverse exploration of culture beyond your chosen program. This unique setup fosters a rich academic experience, bringing together academics, curators, and practitioners who collaborate in investigating modern and contemporary culture.",275
27,Artificial Intelligence and Digital Health MSc,"Cavendish, Central London",,,1 year,2 years,,,"£17,500","£1,985",,,"£10,700","£1,225",,,https://www.westminster.ac.uk/biological-and-biomedical-sciences-data-science-and-informatics-courses/2025-26/september/full-time/artificial-intelligence-and-digital-health-msc,https://www.westminster.ac.uk/biological-and-biomedical-sciences-data-science-and-informatics-courses/2025-26/september/part-time-day/artificial-intelligence-and-digital-health-msc,330,"AI is everywhere. If you want to future-proof your career, a solid understanding of AI is required, including in healthcare. Our MSc in Artificial Intelligence and Digital Health offers a comprehensive and interdisciplinary approach which will equip you with this knowledge and prepare you for the dynamic field of digital health."," Embark on an enlightening journey with our MSc in Artificial Intelligence (AI) and Digital Health, a course designed for those aiming to future-proof their careers amidst the ever-expanding AI landscape, particularly within healthcare. This interdisciplinary program provides a thorough understanding of AI, ensuring you're well-equipped to navigate the dynamic digital health sector. By combining cutting-edge AI knowledge with practical applications in healthcare, this course offers an unparalleled opportunity for professional growth. Enhance your skillset and seize the future with our MSc program, where innovation meets impact in the realm of artificial intelligence and digital health.",275
28,Audio Production MA,"Harrow, North-West London",,,1 year,2 years,,,"£15,500","£1,785",,,"£10,700","£1,225",,,https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/audio-production-ma,https://www.westminster.ac.uk/music-courses/2025-26/september/part-time-day/audio-production-ma,600,"The Audio Production MA is a well-established course (running for over 20 years), producing numerous graduates who've gone on to enjoy successful careers in the music and creative industries. This Master's programme is accredited by JAMES (consortium of music, entertainment and media industry organisations in the support of education and promotion of excellence). The course is designed to meet and exceed professional standards and will enable you to reach the highest level in the creative use of audio, and explore how creative ideas and new technologies can be combined, enhanced and redefined."," The Audio Production MA, a venerable course with over two decades of history, has nurtured countless professionals who've thrived in the music and creative sectors. This accredited Master's programme, recognized by JAMES (a consortium of industry leaders), aims to set and surpass professional standards. It empowers students to attain the pinnacle of creativity in audio production, while fostering an environment for exploring innovative ideas and cutting-edge technologies. By blending these creative forces, you'll be equipped to redefine the boundaries of your craft, ensuring a successful journey in the dynamic world of audio production.",275
29,Big Data Technologies MSc,"Cavendish, Central London",,,1 year,2 years,,,"£17,500","£1,985",,,"£10,700","£1,225",,,https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/big-data-technologies-msc,https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/part-time-day/big-data-technologies-msc,502,"Recent advances in technology, along with decreasing hardware costs, led to the development and creation of smart devices and applications that pervade most aspects of daily life. The adoption and use of such technologies and applications in an ever-expanding variety of domains, including social media, entertainment, telecommunications, e-commerce, medical records and e-health, resulted in a rapid explosion in the amount and variety of generated data and to the need to store and analyse this data."," In the digital age, a revolutionary educational course emerges, addressing the surging demand for expertise in Big Data Analytics. Fueled by technological advancements and plummeting hardware costs, smart devices and apps now dominate daily life across sectors like social media, entertainment, telecommunications, e-commerce, medical records, and e-health. This digital explosion has resulted in an unprecedented increase in data volume and diversity. Consequently, the need to effectively store, manage, and interpret this vast amount of information has become paramount. This course equips students with essential skills to navigate this data deluge, preparing them for careers that bridge the gap between technology and its impact on society.",275
