instructions,input,output
Does the University of Westminster offer a course on Arabic and International Communication BA Honours?,"Course title: Arabic and International Communication BA Honours, Collage: University of Westminster, Campus: Regent, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-international-communication-ba-honours.","Yes, University of Westminster provides a course on Arabic and International Communication BA Honours:
Course title: Arabic and International Communication BA Honours.
Campus: Regent, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-international-communication-ba-honours"
Does the University of Westminster offer a course on Arabic and International Communication with Foundation BA Honours?,"Course title: Arabic and International Communication with Foundation BA Honours, Collage: University of Westminster, Campus: Regent, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 4 or 5 years, link: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-international-communication-with-foundation-ba-honours.","Yes, University of Westminster provides a course on Arabic and International Communication with Foundation BA Honours:
Course title: Arabic and International Communication with Foundation BA Honours.
Campus: Regent, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 4 or 5 years.
For more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-international-communication-with-foundation-ba-honours"
Does the University of Westminster offer a course on Arabic and International Relations BA Honours?,"Course title: Arabic and International Relations BA Honours, Collage: University of Westminster, Campus: Regent, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/full-time/arabic-and-international-relations-ba-honours. For Part-time course: UK fees is £1,540, International fees is £2,830. Duration of the course is 5 years, link: https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/part-time-day/arabic-and-international-relations-ba-honours.","Yes, University of Westminster provides a course on Arabic and International Relations BA Honours:
Course title: Arabic and International Relations BA Honours.
Campus: Regent, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/full-time/arabic-and-international-relations-ba-honours
For Part-time course:
UK fees: £1,540.
international fees: £2,830.
The duration of the course is 5 years.
For more details please visit the official website: https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/part-time-day/arabic-and-international-relations-ba-honours "
Does the University of Westminster offer a course on Arabic and Linguistics BA Honours?,"Course title: Arabic and Linguistics BA Honours, Collage: University of Westminster, Campus: Regent, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-linguistics-ba-honours. For Part-time course: UK fees is £1,540, International fees is £2,830. Duration of the course is 5 years, link: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/arabic-and-linguistics-ba-honours.","Yes, University of Westminster provides a course on Arabic and Linguistics BA Honours:
Course title: Arabic and Linguistics BA Honours.
Campus: Regent, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-linguistics-ba-honours
For Part-time course:
UK fees: £1,540.
international fees: £2,830.
The duration of the course is 5 years.
For more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/arabic-and-linguistics-ba-honours "
Does the University of Westminster offer a course on Architectural Technology BSc Honours?,"Course title: Architectural Technology BSc Honours, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architectural-technology-bsc-honours.","Yes, University of Westminster provides a course on Architectural Technology BSc Honours:
Course title: Architectural Technology BSc Honours.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architectural-technology-bsc-honours"
Does the University of Westminster offer a course on Architectural Technology with Foundation BSc Honours?,"Course title: Architectural Technology with Foundation BSc Honours, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 4 or 5 years, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architectural-technology-with-foundation-bsc-honours.","Yes, University of Westminster provides a course on Architectural Technology with Foundation BSc Honours:
Course title: Architectural Technology with Foundation BSc Honours.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 4 or 5 years.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architectural-technology-with-foundation-bsc-honours"
Does the University of Westminster offer a course on Architecture & Sustainable Heritage MA?,"Course title: Architecture & Sustainable Heritage MA, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,700 and international fees is £15,500. Duration of the course is 1 year, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-sustainable-heritage-ma. For Part-time course: UK fees is £1,125, International fees is £1,785. Duration of the course is 2 years, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-sustainable-heritage-ma.","Yes, University of Westminster provides a course on Architecture & Sustainable Heritage MA:
Course title: Architecture & Sustainable Heritage MA.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,700.
international fees: £15,500.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-sustainable-heritage-ma
For Part-time course:
UK fees: £1,125.
international fees: £1,785.
The duration of the course is 2 years.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-sustainable-heritage-ma "
Does the University of Westminster offer a course on Architecture BA Honours?,"Course title: Architecture BA Honours, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-ba-honours.","Yes, University of Westminster provides a course on Architecture BA Honours:
Course title: Architecture BA Honours.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-ba-honours"
Does the University of Westminster offer a course on Architecture MA?,"Course title: Architecture MA, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,700 and international fees is £15,500. Duration of the course is 1 year, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-ma. For Part-time course: UK fees is £1,125, International fees is £1,785. Duration of the course is 2 years, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-ma.","Yes, University of Westminster provides a course on Architecture MA:
Course title: Architecture MA.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,700.
international fees: £15,500.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-ma
For Part-time course:
UK fees: £1,125.
international fees: £1,785.
The duration of the course is 2 years.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-ma "
Does the University of Westminster offer a course on Architecture Postgraduate Diploma Professional Practice (RIBA Part III)?,"Course title: Architecture Postgraduate Diploma Professional Practice (RIBA Part III), Collage: University of Westminster,Campus: Marylebone, Central London For Part-time course: UK fees is £600, International fees is £600. Duration of the course is 1 year, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-evening-only/architecture-postgraduate-diploma-professional-practice-riba-part-iii.","Yes, University of Westminster provides a course on Architecture Postgraduate Diploma Professional Practice (RIBA Part III):
Course title: Architecture Postgraduate Diploma Professional Practice (RIBA Part III).
Campus: Marylebone, Central London.

For Part-time course:
UK fees: £600.
international fees: £600.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-evening-only/architecture-postgraduate-diploma-professional-practice-riba-part-iii "
Does the University of Westminster offer a course on Architecture and Environmental Design BSc Honours?,"Course title: Architecture and Environmental Design BSc Honours, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-bsc-honours.","Yes, University of Westminster provides a course on Architecture and Environmental Design BSc Honours:
Course title: Architecture and Environmental Design BSc Honours.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-bsc-honours"
Does the University of Westminster offer a course on Architecture and Environmental Design MSc?,"Course title: Architecture and Environmental Design MSc, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £11,700 and international fees is £15,500. Duration of the course is 1 year, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-msc. For Part-time course: UK fees is £1,325, International fees is £1,785. Duration of the course is 2 years, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-and-environmental-design-msc.","Yes, University of Westminster provides a course on Architecture and Environmental Design MSc:
Course title: Architecture and Environmental Design MSc.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£11,700.
international fees: £15,500.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-msc
For Part-time course:
UK fees: £1,325.
international fees: £1,785.
The duration of the course is 2 years.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-and-environmental-design-msc "
Does the University of Westminster offer a course on Architecture and Environmental Design Postgraduate Certificate?,"Course title: Architecture and Environmental Design Postgraduate Certificate, Collage: University of Westminster,Campus: Marylebone, Central London For Part-time course: UK fees is £3,975, International fees is £5,355. Duration of the course is 1 year, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-and-environmental-design-postgraduate-certificate.","Yes, University of Westminster provides a course on Architecture and Environmental Design Postgraduate Certificate:
Course title: Architecture and Environmental Design Postgraduate Certificate.
Campus: Marylebone, Central London.

For Part-time course:
UK fees: £3,975.
international fees: £5,355.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-and-environmental-design-postgraduate-certificate "
Does the University of Westminster offer a course on Architecture and Environmental Design with Foundation BSc Honours?,"Course title: Architecture and Environmental Design with Foundation BSc Honours, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 4 or 5 years, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-with-foundation-bsc-honours.","Yes, University of Westminster provides a course on Architecture and Environmental Design with Foundation BSc Honours:
Course title: Architecture and Environmental Design with Foundation BSc Honours.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 4 or 5 years.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-with-foundation-bsc-honours"
Does the University of Westminster offer a course on Architecture with Foundation BA Honours?,"Course title: Architecture with Foundation BA Honours, Collage: University of Westminster, Campus: Marylebone, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 4 or 5 years, link: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-with-foundation-ba-honours.","Yes, University of Westminster provides a course on Architecture with Foundation BA Honours:
Course title: Architecture with Foundation BA Honours.
Campus: Marylebone, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 4 or 5 years.
For more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-with-foundation-ba-honours"
Does the University of Westminster offer a course on Art and Emerging Technologies MA?,"Course title: Art and Emerging Technologies MA, Collage: University of Westminster, Campus: Harrow, North-West London. For full-time course: UK fees is £11,700 and international fees is £15,500. Duration of the course is 1 year, link: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/art-and-emerging-technologies-ma. For Part-time course: UK fees is £1,325, International fees is £1,785. Duration of the course is 2 years, link: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/art-and-emerging-technologies-ma.","Yes, University of Westminster provides a course on Art and Emerging Technologies MA:
Course title: Art and Emerging Technologies MA.
Campus: Harrow, North-West London.
For full-time course:
UK fees:£11,700.
international fees: £15,500.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/art-and-emerging-technologies-ma
For Part-time course:
UK fees: £1,325.
international fees: £1,785.
The duration of the course is 2 years.
For more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/art-and-emerging-technologies-ma "
Does the University of Westminster offer a course on Art and Visual Culture MA?,"Course title: Art and Visual Culture MA, Collage: University of Westminster, Campus: Regent, Central London. For full-time course: UK fees is £9,700 and international fees is £17,500. Duration of the course is 1 year, link: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/art-and-visual-culture-ma. For Part-time course: UK fees is £4,850, International fees is £8,750. Duration of the course is 2 years, link: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/art-and-visual-culture-ma.","Yes, University of Westminster provides a course on Art and Visual Culture MA:
Course title: Art and Visual Culture MA.
Campus: Regent, Central London.
For full-time course:
UK fees:£9,700.
international fees: £17,500.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/art-and-visual-culture-ma
For Part-time course:
UK fees: £4,850.
international fees: £8,750.
The duration of the course is 2 years.
For more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/art-and-visual-culture-ma "
Does the University of Westminster offer a course on Artificial Intelligence and Digital Health MSc?,"Course title: Artificial Intelligence and Digital Health MSc, Collage: University of Westminster, Campus: Cavendish, Central London. For full-time course: UK fees is £10,700 and international fees is £17,500. Duration of the course is 1 year, link: https://www.westminster.ac.uk/biological-and-biomedical-sciences-data-science-and-informatics-courses/2025-26/september/full-time/artificial-intelligence-and-digital-health-msc. For Part-time course: UK fees is £1,225, International fees is £1,985. Duration of the course is 2 years, link: https://www.westminster.ac.uk/biological-and-biomedical-sciences-data-science-and-informatics-courses/2025-26/september/part-time-day/artificial-intelligence-and-digital-health-msc.","Yes, University of Westminster provides a course on Artificial Intelligence and Digital Health MSc:
Course title: Artificial Intelligence and Digital Health MSc.
Campus: Cavendish, Central London.
For full-time course:
UK fees:£10,700.
international fees: £17,500.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-data-science-and-informatics-courses/2025-26/september/full-time/artificial-intelligence-and-digital-health-msc
For Part-time course:
UK fees: £1,225.
international fees: £1,985.
The duration of the course is 2 years.
For more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-data-science-and-informatics-courses/2025-26/september/part-time-day/artificial-intelligence-and-digital-health-msc "
Does the University of Westminster offer a course on Audio Production MA?,"Course title: Audio Production MA, Collage: University of Westminster, Campus: Harrow, North-West London. For full-time course: UK fees is £10,700 and international fees is £15,500. Duration of the course is 1 year, link: https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/audio-production-ma. For Part-time course: UK fees is £1,225, International fees is £1,785. Duration of the course is 2 years, link: https://www.westminster.ac.uk/music-courses/2025-26/september/part-time-day/audio-production-ma.","Yes, University of Westminster provides a course on Audio Production MA:
Course title: Audio Production MA.
Campus: Harrow, North-West London.
For full-time course:
UK fees:£10,700.
international fees: £15,500.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/audio-production-ma
For Part-time course:
UK fees: £1,225.
international fees: £1,785.
The duration of the course is 2 years.
For more details please visit the official website: https://www.westminster.ac.uk/music-courses/2025-26/september/part-time-day/audio-production-ma "
Does the University of Westminster offer a course on Big Data Technologies MSc?,"Course title: Big Data Technologies MSc, Collage: University of Westminster, Campus: Cavendish, Central London. For full-time course: UK fees is £10,700 and international fees is £17,500. Duration of the course is 1 year, link: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/big-data-technologies-msc. For Part-time course: UK fees is £1,225, International fees is £1,985. Duration of the course is 2 years, link: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/part-time-day/big-data-technologies-msc.","Yes, University of Westminster provides a course on Big Data Technologies MSc:
Course title: Big Data Technologies MSc.
Campus: Cavendish, Central London.
For full-time course:
UK fees:£10,700.
international fees: £17,500.
The duration of the course is 1 year.
For more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/big-data-technologies-msc
For Part-time course:
UK fees: £1,225.
international fees: £1,985.
The duration of the course is 2 years.
For more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/part-time-day/big-data-technologies-msc "
Does the University of Westminster offer a course on Biochemistry BSc Honours?,"Course title: Biochemistry BSc Honours, Collage: University of Westminster, Campus: Cavendish, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 3 or 4 years, link: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biochemistry-bsc-honours.","Yes, University of Westminster provides a course on Biochemistry BSc Honours:
Course title: Biochemistry BSc Honours.
Campus: Cavendish, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 3 or 4 years.
For more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biochemistry-bsc-honours"
Does the University of Westminster offer a course on Biochemistry with Foundation BSc Honours?,"Course title: Biochemistry with Foundation BSc Honours, Collage: University of Westminster, Campus: Cavendish, Central London. For full-time course: UK fees is £9,250 and international fees is £17,000. Duration of the course is 4 or 5 years, link: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biochemistry-with-foundation-bsc-honours.","Yes, University of Westminster provides a course on Biochemistry with Foundation BSc Honours:
Course title: Biochemistry with Foundation BSc Honours.
Campus: Cavendish, Central London.
For full-time course:
UK fees:£9,250.
international fees: £17,000.
The duration of the course is 4 or 5 years.
For more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biochemistry-with-foundation-bsc-honours"
