conversations
"[{'content': 'Does the University of Westminster offer a course on AI, Data and Communication MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on AI, Data and Communication MA:\nCourse title: AI, Data and Communication MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/full-time/ai-data-and-communication-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-media-and-communication-courses/2025-26/september/part-time-day-evening/ai-data-and-communication-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Accounting BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Accounting BSc Honours:\nCourse title: Accounting BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/accounting-and-finance-courses/2025-26/september/full-time/accounting-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Arabic and International Relations BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Arabic and International Relations BA Honours:\nCourse title: Arabic and International Relations BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/full-time/arabic-and-international-relations-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-politics-and-international-relations-courses/2025-26/september/part-time-day/arabic-and-international-relations-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Arabic and Linguistics BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Arabic and Linguistics BA Honours:\nCourse title: Arabic and Linguistics BA Honours.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/full-time/arabic-and-linguistics-ba-honours\nFor Part-time course:\nUK fees: £1,540.\ninternational fees: £2,830.\nThe duration of the course is 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/languages-courses/2025-26/september/part-time-day/arabic-and-linguistics-ba-honours ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architectural Technology BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architectural Technology BSc Honours:\nCourse title: Architectural Technology BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architectural-technology-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architectural Technology with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architectural Technology with Foundation BSc Honours:\nCourse title: Architectural Technology with Foundation BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architectural-technology-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architecture & Sustainable Heritage MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architecture & Sustainable Heritage MA:\nCourse title: Architecture & Sustainable Heritage MA.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-sustainable-heritage-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,785.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-sustainable-heritage-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architecture BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architecture BA Honours:\nCourse title: Architecture BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architecture MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architecture MA:\nCourse title: Architecture MA.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-ma\nFor Part-time course:\nUK fees: £1,125.\ninternational fees: £1,785.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architecture Postgraduate Diploma Professional Practice (RIBA Part III)?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architecture Postgraduate Diploma Professional Practice (RIBA Part III):\nCourse title: Architecture Postgraduate Diploma Professional Practice (RIBA Part III).\nCampus: Marylebone, Central London.\n\nFor Part-time course:\nUK fees: £600.\ninternational fees: £600.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-evening-only/architecture-postgraduate-diploma-professional-practice-riba-part-iii ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architecture and Environmental Design BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architecture and Environmental Design BSc Honours:\nCourse title: Architecture and Environmental Design BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architecture and Environmental Design MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architecture and Environmental Design MSc:\nCourse title: Architecture and Environmental Design MSc.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£11,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-msc\nFor Part-time course:\nUK fees: £1,325.\ninternational fees: £1,785.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-and-environmental-design-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architecture and Environmental Design Postgraduate Certificate?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architecture and Environmental Design Postgraduate Certificate:\nCourse title: Architecture and Environmental Design Postgraduate Certificate.\nCampus: Marylebone, Central London.\n\nFor Part-time course:\nUK fees: £3,975.\ninternational fees: £5,355.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/part-time-day/architecture-and-environmental-design-postgraduate-certificate ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architecture and Environmental Design with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architecture and Environmental Design with Foundation BSc Honours:\nCourse title: Architecture and Environmental Design with Foundation BSc Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-and-environmental-design-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Architecture with Foundation BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Architecture with Foundation BA Honours:\nCourse title: Architecture with Foundation BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/architecture-interiors-and-urban-design-courses/2025-26/september/full-time/architecture-with-foundation-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Art and Emerging Technologies MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Art and Emerging Technologies MA:\nCourse title: Art and Emerging Technologies MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£11,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/art-and-emerging-technologies-ma\nFor Part-time course:\nUK fees: £1,325.\ninternational fees: £1,785.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/art-and-emerging-technologies-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Art and Visual Culture MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Art and Visual Culture MA:\nCourse title: Art and Visual Culture MA.\nCampus: Regent, Central London.\nFor full-time course:\nUK fees:£9,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/full-time/art-and-visual-culture-ma\nFor Part-time course:\nUK fees: £4,850.\ninternational fees: £8,750.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/art-design-and-visual-culture-courses/2025-26/september/part-time-day/art-and-visual-culture-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Artificial Intelligence and Digital Health MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Artificial Intelligence and Digital Health MSc:\nCourse title: Artificial Intelligence and Digital Health MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-data-science-and-informatics-courses/2025-26/september/full-time/artificial-intelligence-and-digital-health-msc\nFor Part-time course:\nUK fees: £1,225.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-data-science-and-informatics-courses/2025-26/september/part-time-day/artificial-intelligence-and-digital-health-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Audio Production MA?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Audio Production MA:\nCourse title: Audio Production MA.\nCampus: Harrow, North-West London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £15,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/music-courses/2025-26/september/full-time/audio-production-ma\nFor Part-time course:\nUK fees: £1,225.\ninternational fees: £1,785.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/music-courses/2025-26/september/part-time-day/audio-production-ma ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Big Data Technologies MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Big Data Technologies MSc:\nCourse title: Big Data Technologies MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/big-data-technologies-msc\nFor Part-time course:\nUK fees: £1,225.\ninternational fees: £1,985.\nThe duration of the course is 2 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/part-time-day/big-data-technologies-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Biochemistry BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Biochemistry BSc Honours:\nCourse title: Biochemistry BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biochemistry-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Biochemistry with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Biochemistry with Foundation BSc Honours:\nCourse title: Biochemistry with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biochemistry-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Biological Sciences BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Biological Sciences BSc Honours:\nCourse title: Biological Sciences BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biological-sciences-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Biological Sciences with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Biological Sciences with Foundation BSc Honours:\nCourse title: Biological Sciences with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biological-sciences-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Biomedical Science BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Biomedical Science BSc Honours:\nCourse title: Biomedical Science BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biomedical-science-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Biomedical Science MSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Biomedical Science MSc:\nCourse title: Biomedical Science MSc.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£10,700.\ninternational fees: £17,500.\nThe duration of the course is 1 year.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biomedical-science-msc\nFor Part-time course:\nUK fees: £1,070.\ninternational fees: £1,750.\nThe duration of the course is 2-5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/part-time-day/biomedical-science-msc ', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Biomedical Science with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Biomedical Science with Foundation BSc Honours:\nCourse title: Biomedical Science with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/full-time/biomedical-science-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Biomedical and Physiological Sciences FDSc?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Biomedical and Physiological Sciences FDSc:\nCourse title: Biomedical and Physiological Sciences FDSc.\nCampus: Cavendish, Central London.\n\nThere are distance_learing options are also available:\nUK fees: £1,540.\nInternational fees: £2,830.\nDuration of the course: 3 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/biological-and-biomedical-sciences-courses/2025-26/september/open-distance-learning/biomedical-and-physiological-sciences-fdsc\n', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Business Information Systems BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Business Information Systems BSc Honours:\nCourse title: Business Information Systems BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/business-information-systems-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Business Information Systems with Foundation BSc Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Business Information Systems with Foundation BSc Honours:\nCourse title: Business Information Systems with Foundation BSc Honours.\nCampus: Cavendish, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 4 or 5 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/computer-science-and-engineering-data-science-and-informatics-courses/2025-26/september/full-time/business-information-systems-with-foundation-bsc-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Business Management (Digital Business) BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Business Management (Digital Business) BA Honours:\nCourse title: Business Management (Digital Business) BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/business-management-digital-business-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Business Management (Entrepreneurship) BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Business Management (Entrepreneurship) BA Honours:\nCourse title: Business Management (Entrepreneurship) BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/business-management-entrepreneurship-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Business Management (Human Resource Management) BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Business Management (Human Resource Management) BA Honours:\nCourse title: Business Management (Human Resource Management) BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/business-management-human-resource-management-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Business Management (Marketing) BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Business Management (Marketing) BA Honours:\nCourse title: Business Management (Marketing) BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-marketing-courses/2025-26/september/full-time/business-management-marketing-ba-honours', 'role': 'assistant'}]"
"[{'content': 'Does the University of Westminster offer a course on Business Management BA Honours?', 'role': 'user'}, {'content': 'Yes, University of Westminster provides a course on Business Management BA Honours:\nCourse title: Business Management BA Honours.\nCampus: Marylebone, Central London.\nFor full-time course:\nUK fees:£9,250.\ninternational fees: £17,000.\nThe duration of the course is 3 or 4 years.\nFor more details please visit the official website: https://www.westminster.ac.uk/business-and-management-courses/2025-26/september/full-time/business-management-ba-honours', 'role': 'assistant'}]"
